fatiga;fatigue;Fatigue is common after a long illness.;La fatiga és comuna després d’una malaltia llarga.;La fatiga es común tras una enfermedad larga.
febre;fever;He had a high fever last night.;Va tenir molta febre la nit passada.;Tuvo mucha fiebre anoche.
grip;flu;The flu spread quickly through the school.;La grip es va escampar ràpidament per l’escola.;La gripe se propagó rápidamente por la escuela.
metge de capçalera;general practitioner;The general practitioner referred me to a specialist.;El metge de capçalera em va derivar a un especialista.;El médico de cabecera me derivó a un especialista.
mal de cap;headache;She has a headache from working too much.;Té mal de cap per haver treballat massa.;Tiene dolor de cabeza por haber trabajado demasiado.
assistència sanitària;healthcare;Access to healthcare is a basic right.;L’accés a l’assistència sanitària és un dret bàsic.;El acceso a la asistencia sanitaria es un derecho básico.
hospital;hospital;She stayed in the hospital for three days.;Va estar a l’hospital durant tres dies.;Estuvo en el hospital durante tres días.
hospitalització;hospitalization;His condition required hospitalization.;La seva condició va requerir hospitalització.;Su condición requirió hospitalización.
tensió arterial;hypertension;Hypertension can lead to heart disease.;La hipertensió pot portar a malalties del cor.;La hipertensión puede provocar enfermedades del corazón.
malaltia;illness;She missed school due to an illness.;Va faltar a l’escola per una malaltia.;Faltó a la escuela por una enfermedad.
infecció;infection;The wound showed signs of infection.;La ferida mostrava signes d'infecció.;La herida mostraba signos de infección.
medicina;medicine;Don’t forget to take your medicine.;No oblidis prendre la teva medicina.;No olvides tomar tu medicina.
salut mental;mental health;Talking to someone can improve your mental health.;Parlar amb algú pot millorar la teva salut mental.;Hablar con alguien puede mejorar tu salud mental.
infermera;nurse;The nurse gave him an injection.;L’infermera li va posar una injecció.;La enfermera le puso una inyección.
nutrició;nutrition;Good nutrition is essential for health.;Una bona nutrició és essencial per a la salut.;Una buena nutrición es esencial para la salud.
dolor;pain;She felt a sharp pain in her chest.;Va sentir un dolor agut al pit.;Sintió un dolor agudo en el pecho.
analgèsic;painkiller;He took a painkiller to relieve his headache.;Va prendre un analgèsic per alleujar el mal de cap.;Tomó un analgésico para aliviar el dolor de cabeza.
pacient;patient;The patient is waiting for the results.;El pacient espera els resultats.;El paciente espera los resultados.
recepta mèdica;prescription;The doctor gave me a prescription for antibiotics.;El metge em va donar una recepta d’antibiòtics.;El médico me dio una receta de antibióticos.
psicòleg;psychologist;He spoke with a psychologist about his anxiety.;Va parlar amb un psicòleg sobre la seva ansietat.;Habló con un psicólogo sobre su ansiedad.
esquinç;sprain;I got a sprain playing basketball.;Em vaig fer un esquinç jugant a bàsquet.;Me hice un esguince jugando al baloncesto.
cirurgià;surgeon;The surgeon performed a successful operation.;El cirurgià va fer una operació amb èxit.;El cirujano realizó una operación con éxito.
cirurgia;surgery;She had knee surgery last year.;Es va operar del genoll l'any passat.;Se operó de la rodilla el año pasado.
símptoma;symptom;A cough is a common symptom of a cold.;La tos és un símptoma comú del refredat.;La tos es un síntoma común del resfriado.
teràpia;therapy;Physical therapy helped her walk again.;La fisioteràpia la va ajudar a tornar a caminar.;La fisioterapia la ayudó a volver a caminar.
tractament;treatment;He is receiving treatment for his injury.;Està rebent tractament per la seva lesió.;Está recibiendo tratamiento por su lesión.
vacuna;vaccine;The flu vaccine is available at the pharmacy.;La vacuna de la grip està disponible a la farmàcia.;La vacuna de la gripe está disponible en la farmacia.
respirador;ventilator;The patient was placed on a ventilator.;El pacient va ser connectat a un respirador.;El paciente fue conectado a un respirador.
benestar;well-being;Exercise helps improve mental well-being.;Fer exercici ajuda a millorar el benestar mental.;Hacer ejercicio ayuda a mejorar el bienestar mental.
ferida;wound;The wound needs to be cleaned daily.;La ferida s’ha de netejar cada dia.;La herida debe limpiarse cada día.
